row_index,organization_original,standardized_org,similarity_score
9,Notaro & Michalos P.C.,"Notaro, Michalos & Zaccaria P.C.",100.0
13,Pillsbury Winthrop Shaw Pittman,Pillsbury Winthrop Shaw Pittman LLP,100.0
20,Banner Witcoff,"Banner & Witcoff, Ltd.",100.0
24,"Han Santos, PLLC",Han IP PLLC,100.0
30,Fish and Richardson P.C.,Fish & Richardson P.C.,100.0
46,"Foley Hoag, LLP SeaPort West",Foley Hoag LLP,100.0
49,Baker & Hostetler LLP,BakerHostetler,100.0
81,"Hoffman Warnick, LLC",Hoffman Warnick LLC,100.0
84,"Shook, Hardy & Bacon LLP","Shook, Hardy & Bacon L.L.P.",100.0
90,Greenberg Traurig,"Greenberg Traurig, LLP",100.0
93,"Marshall Gerstein & Borun, LLP","MARSHALL, GERSTEIN & BORUN LLP",100.0
96,"KILPATRICK TOWNSEND & STOCKTON, LLP",Kilpatrick Townsend & Stockton LLP,100.0
111,Frost Brown Todd LLC,Frost Brown Todd LLP,100.0
116,Knobbe Martens Olson & Bear LLP,"Knobbe, Martens, Olson & Bear, LLP",100.0
118,Banner and Witcoff LTD,"Banner & Witcoff, Ltd.",100.0
135,Levine Bagade Han LLP,Han IP PLLC,100.0
154,"Mintz Levin Cohn Ferris Glovsky and Popeo, PC","Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
155,"MRG IP LAW, P.A. DBA Mueting Raasch Group",Mueting Raasch Group,100.0
158,Squire Patton Boggs (US) LLP,SQUIRE PATTON BOGGS (US) LLP,100.0
160,"Reising Ethington, P.C.",Reising Ethington P.C.,100.0
164,"Knobbe, Martens, Olson & Bear LLP","Knobbe, Martens, Olson & Bear, LLP",100.0
166,Morrison and Foerster,Morrison & Foerster LLP,100.0
168,Squire Patton Boggs,SQUIRE PATTON BOGGS (US) LLP,100.0
173,Dorsey & Whitney,Dorsey & Whitney LLP,100.0
175,Strategic Patents,"Strategic Patents, P.C.",100.0
181,"Lucas & Mercanti, LLP","LUCAS & MERCANTI, LLP",100.0
182,Renner Otto Boisselle & Sklar LLP,"Renner, Otto, Boisselle & Sklar, LLP",100.0
184,"Slater & Matsil, L.L.P.","Slater Matsil, LLP",100.0
207,"Tucker Ellis, LLP",Tucker Ellis LLP,100.0
213,Womble Bond Dickinson LLP,Womble Bond Dickinson (US) LLP,100.0
217,"Procopio, Cory, Hargreaves & Savitch","Procopio, Cory, Hargreaves & Savitch LLP",100.0
226,Banner & Witcoff,"Banner & Witcoff, Ltd.",100.0
239,"Wilson, Sonsini, Goodrich, and Rosati",Wilson Sonsini Goodrich & Rosati,100.0
240,Staas & Halsey LLP,STAAS & HALSEY LLP,100.0
249,KILPATRICK TOWNSEND & STOCKTON LLP,Kilpatrick Townsend & Stockton LLP,100.0
256,Baker Botts LLP,Baker Botts L.L.P.,100.0
257,"Finnegan, Henderson, Farabow, Garrett & Dunner LLP","Finnegan, Henderson, Farabow, Garrett & Dunner, LLP",100.0
258,Bookoff McAndrews PLLC,"Bookoff McAndrews, PLLC",100.0
262,"Sheppard, Mullin, Richter & Hampton LLP",Sheppard Mullin Richter & Hampton LLP,100.0
280,"Finnegan, Henderson, Farabow, Garret & Dunner","Finnegan, Henderson, Farabow, Garrett & Dunner, LLP",100.0
284,Withrow & Terranova,"Withrow & Terranova, PLLC",100.0
289,"Baker Botts, LLP",Baker Botts L.L.P.,100.0
290,Michael Best & Friedrich,Michael Best & Friedrich LLP,100.0
291,Kilpatrick Stocton & Townsend LLP,Kilpatrick Townsend & Stockton LLP,100.0
302,Sterne Kessler Goldstein & Fox,"Sterne, Kessler, Goldstein & Fox P.L.L.C.",100.0
303,Maier and Maier,"Maier & Maier, PLLC",100.0
321,Wood Herron and Evans LLP,Wood Herron & Evans LLP,100.0
336,McCarter & English LLP,"McCarter & English, LLP",100.0
338,"Dorsey & Whitney, LLP",Dorsey & Whitney LLP,100.0
341,Leydig Voit and Mayer Ltd.,"Leydig, Voit & Mayer, Ltd.",100.0
347,F. Chau & Associates,"F. CHAU & ASSOCIATES, LLC",100.0
363,"Foley Hoag, LLP Seaport West",Foley Hoag LLP,100.0
364,Novo TechIP International PLLC,NovoTechIP International PLLC,100.0
365,Morrison & Foerster,Morrison & Foerster LLP,100.0
366,"Knobbe Martens Olson and Bear, LLP","Knobbe, Martens, Olson & Bear, LLP",100.0
369,Foley IP,Foley & Lardner LLP,100.0
370,Alston & Bird One Atlantic Center,Alston & Bird LLP,100.0
371,Kilpatrick Townsend & Stockton,Kilpatrick Townsend & Stockton LLP,100.0
382,"Slater & Matsil, L.L.P.","Slater Matsil, LLP",100.0
389,"Wolf, Greenfield & Sacks","Wolf, Greenfield & Sacks, P.C.",100.0
396,"Moore & Van Allen, PLLC",Moore & Van Allen PLLC,100.0
401,Greenberg Traurig,"Greenberg Traurig, LLP",100.0
407,"Goodwin Procter, LLP",Goodwin Procter LLP,100.0
423,"Michael Best & Friedrich, LLP",Michael Best & Friedrich LLP,100.0
429,Norton Rose Fulbright US LLP,NORTON ROSE FULBRIGHT US LLP,100.0
437,"Edell, Shapiro and Finnan, LLC","Edell, Shapiro & Finnan, LLC",100.0
443,"Thorpe North and Western, LLP",Thorpe North & Western,100.0
456,"KILPATRICK TOWNSEND & STOCKTON, LLP",Kilpatrick Townsend & Stockton LLP,100.0
466,Condo Roccia LLP,Condo Roccia Koptiw LLP,100.0
476,"Calfee, Halter & Griswold LLP The Calfee Building","Calfee, Halter & Griswold LLP",100.0
484,"Sterne, Kessler, Goldstein & Fox","Sterne, Kessler, Goldstein & Fox P.L.L.C.",100.0
496,"Hanley, Flight & Zimmerman","Hanley, Flight & Zimmerman, LLC",100.0
502,"Muncy, Geissler,Olds & Lowe, PLLC","Muncy, Geissler, Olds & Lowe, P.C.",97.87234042553192
504,Barnes & Thornburg,Barnes & Thornburg LLP,100.0
521,Wilson Sonsini Goodrich & Rosati P.C.,Wilson Sonsini Goodrich & Rosati,100.0
528,Banner and Witcoff LTD,"Banner & Witcoff, Ltd.",100.0
531,"Lee & Hayes, PLLC","Lee & Hayes, P.C.",100.0
537,Kilpatrick Townsend & Stockton LLP (retired),Kilpatrick Townsend & Stockton LLP,100.0
557,"Marshall, Gerstein & Borun LLP","MARSHALL, GERSTEIN & BORUN LLP",100.0
560,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.","Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
561,"Marshall, Gerstein & Borun LLP","MARSHALL, GERSTEIN & BORUN LLP",100.0
564,K & L Gates LLP,K&L Gates LLP,100.0
568,Bookoff McAndrews PLLC,"Bookoff McAndrews, PLLC",100.0
570,"Fish & Richardon, P.C.",Fish & Richardson P.C.,100.0
572,Klarquist Sparkman LLP,"Klarquist Sparkman, LLP",100.0
583,"Fish & Richardson, P.C.",Fish & Richardson P.C.,100.0
590,Buchanan Ingersoll & Rooney P.C.,Buchanan Ingersoll & Rooney PC,100.0
593,Cozen and O'Connor,Cozen O'Connor,100.0
596,"Michael Best and Friedrich, LLP",Michael Best & Friedrich LLP,100.0
599,Warner Norcross + Judd,Warner Norcross + Judd LLP,100.0
600,"Bryan Cave, LLP",Bryan Cave Leighton Paisner LLP,100.0
601,Banner and Witcoff LTD,"Banner & Witcoff, Ltd.",100.0
607,"Knobbe Martens Olson and Bear, LLP","Knobbe, Martens, Olson & Bear, LLP",100.0
623,Greenberg Traurig,"Greenberg Traurig, LLP",100.0
629,Canon USA Inc.,"Canon U.S.A., Inc. IP Division",100.0
632,KILPATRICK TOWNSEND & STOCKTON LLP,Kilpatrick Townsend & Stockton LLP,100.0
642,Quarels & Brady LLP,Quarles & Brady LLP,100.0
643,"Harness Dickey & Pierce, P.L.C.","Harness, Dickey & Pierce, P.L.C.",100.0
644,Knobbe Martens Olson & Bear LLP,"Knobbe, Martens, Olson & Bear, LLP",100.0
650,"Mintz Levin, PC","Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
651,Fish & Richardson PC,Fish & Richardson P.C.,100.0
654,"Womble, Bond, and Dickinson",Womble Bond Dickinson (US) LLP,100.0
659,McDermott Will & Emery,McDermott Will & Emery LLP,100.0
660,"Amin & Turocy, LLP","Amin, Turocy & Watson, LLP",100.0
663,"Shackelford, Bowen, McKinley & Norton, LLP","Shackelford, McKinley & Norton, LLP",100.0
669,Wilson Sonsini Goodrich & Rosati P.C.,Wilson Sonsini Goodrich & Rosati,100.0
670,"Withrow + Terranova, PLLC","Withrow & Terranova, PLLC",100.0
684,"Wolf, Greenfield and Sacks, P.C.","Wolf, Greenfield & Sacks, P.C.",100.0
726,"Greenberg Traurig, P.A.","Greenberg Traurig, LLP",100.0
730,Troutman Sanders LLP,Troutman Pepper Hamilton Sanders LLP,100.0
734,"K&L Gates, LLP",K&L Gates LLP,100.0
739,"Jacobson Holman, PLLC",Jacobson Holman PLLC,100.0
